"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
750,"0871","吩咐","fēnfù ","I","(VA)","tell, bid, order, instruct, enjoin, say"
751,"0203","分工","fēngōng ","I","(VA)","divide the work, to work together on a project but doing different things"
754,"0213","分配","fēnpèi ","I","(VA)","distribute, allot, assign"
756,"0204","分手","fēnshǒu ","I","(VA)","part company,  say good-bye, break up"
759,"0212","分析","fēnxī ","I","(VA)","analyze"
762,"3083","奮鬥","fèndòu ","I","(VA)","struggle, fight, strive"
765,"1346","封","fēng ","I","(VA)","seal"
776,"3223","縫","féng ","I","(VA)","stitch, sew"
777,"3152","諷刺","fèngcì ","I","(VA)","satirize, mock"
779,"0867","否定","fŏudìng ","I","(VA)","negate, deny"
780,"0869","否認","fŏurèn ","I","(VA)","deny, repudiate"
785,"0922","扶","fú ","I","(VA)","support with hand"
786,"1692","浮","fú ","I","(VA)","float"
788,"1172","服","fú ","I","(VA)","serve"
794,"2882","輔導","fŭdăo ","I","(VA)","coach, tutor"
796,"1511","赴","fù ","I","(VA)","go to, attend"
798,"0356","付出","fùchū ","I","(VA)","pay, expend"
799,"1509","負擔","fùdān ","I","(VA)","bear, shoulder"
801,"1277","附加","fùjiā ","I","(VA)","add, attach"
806,"3024","複製","fùzhì ","I","(VA)","duplicate, reproduce"
808,"0944","改革","găigé ","I","(VA)","reform"
809,"0947","改進","găijìn ","I","(VA)","improve"
810,"0946","改善","găishàn ","I","(VA)","improve, perfect"
812,"0945","改造","găizào ","I","(VA)","transform, reform, remold, remake"
813,"0943","改正","găizhèng ","I","(VA)","correct, amend"
814,"2860","蓋","gài ","I","(VA)","build, construct"
818,"1840","乾杯","gānbēi ","I","(VA)","pledge, wassail, toast"
821,"2879","趕","găn ","I","(VA)","make dash for, rush for"
828,"2880","趕上","gănshàng ","I","(VA)","overtake, run into (situation), be in time for"
832,"2487","幹","gàn ","I","(VA)","do, work, fight"
833,"2488","幹","gàn ","I","(VA)","be engaged in"
835,"2491","幹嘛","gànmá","I","(VA)","do what"
856,"2525","搞","găo ","I","(VA)","generalized doing: do/work/manage/etc."
857,"0872","告","gào ","I","(VA)","accuse, go to law against"
858,"0873","告辭","gàocí ","I","(VA)","take leave"
859,"3207","擱","gē ","I","(VA)","bear, stand, endure"
860,"2177","割","gē ","I","(VA)","cut"
867,"1541","革命","gémìng ","I","(VA)","revolt"
881,"1018","供","gōng ","I","(VA)","supply, feed, be for (the use/convenience of)"
882,"0196","公布/佈","gōngbù ","I","(VA)","promulgate, announce, publish"
896,"1019","供應","gōngyìng ","I","(VA)","supply"
905,"1779","貢獻","gòngxiàn ","I","(VA)","contribution"
907,"2558","溝通","gōutōng ","I","(VA)","communicate, link up"
908,"2790","構成","gòuchéng ","I","(VA)","constitute, form, compose, make up"
909,"3251","購買","gòumăi ","I","(VA)","purchase, buy"
913,"0835","估計","gūjì ","I","(VA)","estimate, appraise, reckon"
922,"2732","鼓勵","gŭlì ","I","(VA)","encourage, urge"
924,"2730","鼓舞","gŭwŭ ","I","(VA)","inspire, hearten, dance for joy, rejoice"
925,"2729","鼓掌","gŭzhăng ","I","(VA)","clap one's hands, applaud"
934,"1975","掛號","guàhào ","I","(VA)","register, registered"
939,"3448","觀察","guānchá ","I","(VA)","observe, survey, inspect"
942,"3445","觀光","guānguāng ","I","(VA)","go sightseeing, visit, tour"
945,"3356","關上","guānshàng ","I","(VA)","shut, steek, close"
949,"2829","管","guăn ","I","(VA)","run, manage, administer ,have charge of, subject to discipline, bother about"
951,"2831","管理","guănlǐ ","I","(VA)","manage, supervise, take care of"
952,"2830","管制","guănzhì ","I","(VA)","control, put under surveillance"
962,"0592","光臨","guānglín ","I","(VA)","be present"
971,"2935","廣告","guănggào ","I","(VA)","advertise"
974,"2149","逛","guàng ","I","(VA)","stroll, ramble, roam"
975,"2150","逛街","guàngjiē ","I","(VA)","window-shop"
976,"2104","規定","guīdìng ","I","(VA)","provide, formulate, fix, set"
978,"2109","規畫/劃","guīhuà ","I","(VA)","plan, program"
985,"2667","跪","guì ","I","(VA)","kneel (on both knees)"
989,"2803","滾","gŭn ","I","(VA)","roll, trundle, get away, beat it"
1002,"2863","裹","guŏ","I","(VA)","bind, wrap"
1006,"2702","過渡","guòdù ","I","(VA)","ferry stream"
1009,"2704","過節","guòjié ","I","(VA)","celebrate a festival"
1010,"2705","過濾","guòlǜ","I","(VA)","filtrate"
1012,"2698","過日子","guòrìzi ","I","(VA)","live, get along, practice economy"
1029,"0886","含","hán ","I","(VA)","keep in mouth"
1032,"2188","喊","hăn ","I","(VA)","cry out, yell"
1045,"2632","號召","hàozhào ","I","(VA)","call, appeal (for supporters)"
1046,"0634","合","hé ","I","(VA)","pool (efforts/etc.), join, combine"
1049,"0637","合","hé ","I","(VA)","to agree, suit (purpose), match"
1052,"0643","合唱","héchàng ","I","(VA)","sing in a chorus"
1053,"0640","合成","héchéng ","I","(VA)","compose, compound, synthesize"
1083,"1366","後退","hòutuì ","I","(VA)","draw back"
1086,"1073","呼","hū ","I","(VA)","(1)exhale; (2)call"
